system:index,Avg_Rainfall_mm,State,Year,.geo
000000000000000001f3_0,1446.216467550943,Daman and Diu,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f3_1,962.1469757616002,Daman and Diu,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f3_2,1020.9493125900074,Daman and Diu,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f3_3,843.5606856660047,Daman and Diu,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f3_4,1242.458708862741,Daman and Diu,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f6_0,2210.4892559905957,Puducherry,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f6_1,2316.2900112212947,Puducherry,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f6_2,1970.3959742901188,Puducherry,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f6_3,1784.6343088073063,Puducherry,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f6_4,2189.4323576896095,Puducherry,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
